,Source,Target
0,IDG Capital,Tencent
0, Prosus & Naspers,Tencent
0, Lippo Group,Tencent
0, PCCW,Tencent
2,Andreessen Horowitz,Twitter
2, Morgan Stanley,Twitter
2, Spark Capital,Twitter
2, Union Square Ventures,Twitter
2, Insight Partners,Twitter
3,Tencent,Ubisoft
3, JP Morgan Chase,Ubisoft
3, Ontario Teachers' Pension Plan,Ubisoft
3, Electronic Arts,Ubisoft
4,SoftBank,WeWork
4, JP Morgan Chase,WeWork
4, Goldman Sachs,WeWork
4, Insight Partners,WeWork
4, Cushman & Wakefield,WeWork
5,Smash Capital,Wagestream
5, Ascension,Wagestream
5, BlackRock,Wagestream
5, QED Investors,Wagestream
5, Northzone,Wagestream
6,Y Combinator,Xendit
6, Tiger Global Management,Xendit
6, Accel,Xendit
6, East Ventures,Xendit
6, Goat Capital,Xendit
7,RRE Ventures,Techstars
7, Foundry Group,Techstars
7, Mercury,Techstars
7, Silicon Valley Bank,Techstars
7, IA Ventures,Techstars
8,Meyer Global Management,StartEngine
8, BAM Ventures,StartEngine
8, Erik Peterson,StartEngine
8, Sunmeet Jolly,StartEngine
8, Kevin Zuber,StartEngine
9,American Rescue Plan,Verizon
9, NYSERDA,Verizon
9, ATN International,Verizon
10,Galaxy Digital,Terra
10, Hashed,Terra
10, Polychain,Terra
10, Binance,Terra
10, Coinbase Ventures,Terra
11,Digital Currency Group,Wyre
11, Blockchain Capital,Wyre
11, Stellar Development Foundation,Wyre
11, Draper Associates,Wyre
11, Kraken,Wyre
12,Apple,Zomato
12, Sequoia Capital,Zomato
12, Info Edge,Zomato
12, Tiger Global Management,Zomato
12, Ant Group,Zomato
13,Google,SpaceX
13, Fidelity,SpaceX
13, Baillie Gifford,SpaceX
13, Craft Ventures,SpaceX
13, Bank of America,SpaceX
14,Take-Two Interactive Software,Twitch
14, Y Combinator,Twitch
14, Draper Associates,Twitch
14, Bessemer Venture Partners,Twitch
14, SV Angel,Twitch
15,Elliott Management,SAP
15, EASME - EU Executive Agency for SMEs,SAP
16,Y Combinator,Wefunder
16, Maverick Ventures,Wefunder
16, Plug and Play Tech Center,Wefunder
16, Daniel Curran,Wefunder
16, Dharmesh Shah,Wefunder
